#  135.50  164.75  8.0     30
  144.50  159.00  6.0   -180
  145.20  180.80  3.0   -100
  147.00  143.00  7.0    -50
  152.00  177.00  2.0   -200
  147.00  172.00  2.0   -300
#  153.50  156.25  2.2    100
#  153.75  161.00  3.6    -70
  156.00  170.00  1.0   -600
  157.50  161.75  2.0   1000
#  158.00  168.00  1.0   1000
#  158.25  164.50  1.5   -400
  158.50  152.25  2.4    150
#  159.50  166.50  1.8   -100
#  160.00  170.00  1.8   -300
  161.00  158.00  1.0   2000
  161.00  162.00  1.0   2500
  161.00  159.00  1.6    200
  161.00  157.25  1.5    500
#  161.00  163.00  1.0    400
  161.10  160.20  1.0    300
#  162.00  162.25  1.6     90
  162.00  162.00  3.0  -1200
  162.00  162.00  1.0  -500
  162.00  165.00  2.0  -1000
  162.40  154.30  1.0    500
#  162.50  161.00  2.0   1000
  162.50  165.00  1.0   2300
#  162.50  160.17  2.0   -2500
#  163.00  162.00  2.0   1000
  163.00  163.00  1.0   -1500
  163.00  141.00  3.0    -70
  163.00  167.00  1.0    500
  163.00  170.00  1.5    500
#  164.00  161.50  1.0  -1000
  164.50  155.50  2.0   -500
#  164.50  161.75  1.0   1300
  164.50  176.75  1.5    100
  164.50  162.00  2.0   -1200
#  166.00  164.25  1.7   -100
  166.00  178.75  1.5     90
#  167.00  158.00  2.0    300
#  167.00  160.00  1.0    500
#  167.00  175.00  2.0   -500
  169.00  166.00  2.0    400
  168.50  168.50  1.0   -600
  170.00  160.00  1.5    500
  168.00  160.00  1.0   2000
  166.80  162.80  1.0   2000
  167.00  166.00  1.0    1500
  159.00  161.00  1.0    1500
  164.50  159.50  1.0   -1500
  171.00  143.00  3.0    -60
  171.00  162.00  1.5   -800
  168.50  164.50  1.5   -1000
  167.00  177.00  1.5   -400
#  173.00  164.30  2.0   -200
#  174.00  150.75  2.4    160
  174.00  167.00  2.0   -200
  175.00  172.00  2.4    170
  175.50  165.50  3.0    100
  176.00  157.75  2.4    180
  181.50  155.00  3.0    160
#  182.75  168.25  3.0     80
#  187.00  155.00  3.0    100
  188.00  153.00  1.0    200
