cygx1   10002003_Cyg_X1        10002003001 299.58905  35.200586 -0.18 -0.01  0.00 -0.30  77
grs1915 10002004_GRS1915p105   10002004001 288.79775  10.94544   0.40  0.90  1.04  0.44  77
aqlx1   80001034_AqX1          80001034003 287.81572   0.586     0.25 -1.20  1.30  0.20  42
